Date,Open,High,Low,Close,Adj Close,Volume,Tomorrow
6/26/2017,77.337997,77.389999,74.620003,75.498001,75.498001,33020500,72.473999
6/27/2017,75.279999,75.279999,72.403999,72.473999,72.473999,34982000,74.248001
6/28/2017,73.335999,74.348,72.503998,74.248001,74.248001,31512500,72.150002
6/29/2017,74.122002,74.199997,70.82,72.150002,72.150002,41105000,72.321999
6/30/2017,72.741997,73.353996,71.924004,72.321999,72.321999,29242500,70.524002
7/3/2017,74.047997,74.269997,70.300003,70.524002,70.524002,31527000,65.417999
7/5/2017,69.440002,69.447998,65.265999,65.417999,65.417999,85233500,61.765999
7/6/2017,63.452,64.157997,61.259998,61.765999,61.765999,96622500,62.644001
7/7/2017,62.700001,63.400002,61.476002,62.644001,62.644001,70884500,63.209999
7/10/2017,62.580002,63.588001,60.625999,63.209999,63.209999,69104500,65.444
7/11/2017,63.200001,65.456001,62.860001,65.444,65.444,57797000,65.903999
7/12/2017,66.080002,66.620003,64.900002,65.903999,65.903999,51730500,64.681999
7/13/2017,66.022003,66.32,63.993999,64.681999,64.681999,42972500,65.556
7/14/2017,64.638,65.683998,64.244003,65.556,65.556,28126000,63.914001
7/17/2017,65.108002,65.419998,62.689999,63.914001,63.914001,49384500,65.648003
7/18/2017,63.5,65.825996,63.132,65.648003,65.648003,31868500,65.052002
7/19/2017,65.646004,66.330002,64.643997,65.052002,65.052002,31785000,65.984001
7/20/2017,65.379997,66.043999,64.839996,65.984001,65.984001,25831000,65.68
7/21/2017,65.891998,66.251999,65.160004,65.68,65.68,24508000,68.503998
7/24/2017,66.047997,68.68,66.001999,68.503998,68.503998,43185500,67.919998
7/25/2017,69,69.120003,66.830002,67.919998,67.919998,34946000,68.769997
7/26/2017,68.071999,69.099998,67.624001,68.769997,68.769997,24104000,66.891998
7/27/2017,69.199997,69.5,65.258003,66.891998,66.891998,41512000,67.014
7/28/2017,67.377998,67.919998,66.501999,67.014,67.014,24402000,64.694
7/31/2017,67.099998,68.297997,64.208,64.694,64.694,42675500,63.914001
8/1/2017,64.599998,64.889999,63.226002,63.914001,63.914001,41515500,65.178001
8/2/2017,63.787998,65.424004,62.243999,65.178001,65.178001,65457500,69.417999
8/3/2017,69.066002,70,68.629997,69.417999,69.417999,67675000,71.382004
8/4/2017,69.400002,71.454002,68.660004,71.382004,71.382004,46344500,71.033997
8/7/2017,71.470001,71.896004,70.550003,71.033997,71.033997,31622500,73.043999
8/8/2017,71.505997,73.716003,71.480003,73.043999,73.043999,37249000,72.706001
